Qty,Value,Parts,Digi-KeyPart
2,0.1µF,C2 C3,732-8109-1-ND
1,4700pF,C13,732-8119-1-ND
3,1000pF,C1 C11 C12,399-C0805C102J5GAC7800CT-ND
1,47pF,C14,712-QSCT251Q470G1GV001ECT-ND
3,100kR,R1 R5 R6,CR1206-FX-1003ELFCT-ND
1,39kR,R11,118-CR1206-FX-3902ELFCT-ND
1,10kR,R3,CR1206-FX-1002ELFCT-ND
1,5.6kR,R4,311-5.6KERCT-ND
2,1kR,R2 R7,CR1206-FX-1001ELFCT-ND
1,100R,R12,CR1206-FX-1000ELFCT-ND
1,47R,R13,CR1206-FX-47R0ELFCT-ND
1,27R,R14,CR1206-FX-47R0ELFCT-ND
1,82nH,L1,445-1034-1-ND
2,BLM21,L2 L3,541-2293-1-ND
1,50mA,F1,283-3132-1-ND
1,1SS355VM,D1,1655-1359-1-ND
1,PE4259,Q1,1046-1011-1-ND
1,MC78L09,Q2,MC78L09ABDR2GOSCT-ND
1,DG2001,Q3,DG2001EDV-T1-GE3CT-ND
1,NCP553,Q5,NCP553SQ30T1GOSCT-ND
1,J310,Q7,MMBFJ310LT3GOSCT-ND
1,BFR193F,Q8,BFR193FH6327XTSA1CT-ND
3,U.FL Port,X1 X2 X3,A144746CT-ND
1,U.FL IF Cable,J1,WM9117-ND
1,U.FL Panadapter to SDR Cable,J3,2057-CA-DKCA1-152L0-I0-12-ND
1,USB2514BI,Q1012,USB2514BI-AEZG-CT-ND
